neighbourhood;neighbourhood_group;longitude;latitude
Canillas;Hortaleza;-3.643663441309069;40.46378992302551
Pinar del Rey;Hortaleza;-3.6469975709731632;40.47241179908664
Apostol Santiago;Hortaleza;-3.6593269574396334;40.47641314972972
San Andrés;Villaverde;-3.7088638821128375;40.34146380982527
San Cristobal;Villaverde;-3.6883373387564675;40.34077687551505
Valdefuentes;Hortaleza;-3.6358068409564193;40.493679486724
Butarque;Villaverde;-3.6762110880363177;40.33719642142769
Los Rosales;Villaverde;-3.6884572162057765;40.355730105890416
Los Angeles;Villaverde;-3.6990459241250644;40.355801279822565
Casco Histórico de Vallecas;Villa de Vallecas;-3.6161172717699346;40.34853097431632
Santa Eugenia;Villa de Vallecas;-3.611255917216908;40.383446321295615
Casco Histórico de Vicálvaro;Vicálvaro;-3.570055705381642;40.39242436782238
Ambroz;Vicálvaro;-3.6081716236242105;40.4091745382885
Simancas;San Blas - Canillejas;-3.6250119499346307;40.43533790890416
Hellín;San Blas - Canillejas;-3.6167326034035057;40.43095736286411
Amposta;San Blas - Canillejas;-3.621948145413067;40.426143741867456
Arcos;San Blas - Canillejas;-3.6175042218770743;40.421233593549374
Rosas;San Blas - Canillejas;-3.5941731294582397;40.42752648690123
Rejas;San Blas - Canillejas;-3.570069258990858;40.445104467406274
Canillejas;San Blas - Canillejas;-3.610435943277042;40.443271393369784
Salvador;San Blas - Canillejas;-3.6308760176936654;40.44530131781973
Alameda de Osuna;Barajas;-3.5913484428738185;40.45656248488707
Timón;Barajas;-3.5972290017857653;40.4844139364177
Aeropuerto;Barajas;-3.5584713509431323;40.476127220854856
Casco Histórico de Barajas;Barajas;-3.578891592332234;40.47471110017518
Corralejos;Barajas;-3.6071841507536946;40.464149193397176
