 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11147150;"La flor de la maravilla";"";"1";"0";"";"";"2020-03-14 00:00:00.0";"2020-03-14 23:59:00.0";"12:00";"La Compañía TylTyl nos trae esta obra basada en el libro del mismo título de Ana Pelegrín, para componer un trabajo escénico que explora la construcción imaginaria del mundo a través del sonido, la palabra cantada y el movimiento.      ?Recomendada para mayores de 6 meses.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e6a6f3cc88180710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Fernando de los Ríos (Latina)";"1";"CALLE";"CAMARENA";"10";"LATINA";"ALUCHE";"28047";"435819";"4471933";"40.39552931214334";"-3.7562667464373223";"/contenido/actividades/TeatroPerformance";"/usuario/Niños";
11149324;"La forjadora de sueños";"";"1";"1";"L,M,X,J,V,S,D";"";"2020-03-04 00:00:00.0";"2020-03-30 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d5ad218abb80710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=982a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Moncloa (Moncloa - Aravaca)";"2";"PLAZA";"MONCLOA";"1";"MONCLOA-ARAVACA";"ARGUELLES";"28008";"439028";"4476311";"40.435209393826675";"-3.7188765163188293";"/contenido/actividades/Exposiciones";"";
11092575;"La gestión de la tristeza";"";"1";"0";"";"";"2020-12-17 00:00:00.0";"2020-12-17 23:59:00.0";"18:30";"Si la tristeza, el vacío o la frustración se han convertido en una cárcel para ti, conócela bien y adopta medidas efectivas para afrontarla y escapar de ella.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e5363129c23f610VgnVCM1000001d4a900aRCRD";"IV Taller de crecimiento personal";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=053a3c2284238610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Dámaso Alonso (Chamartín)";"1,6";"CALLE";"MANUEL FERRERO";"1";"CHAMARTIN";"CASTILLA";"28036";"441962";"4479867";"40.467453379213175";"-3.6846112774442705";"/contenido/actividades/CursosTalleres";"";
11092572;"La gestión del enfado y la frustración";"";"1";"0";"";"";"2020-09-24 00:00:00.0";"2020-09-24 23:59:00.0";"18:30";"Conoce técnicas prácticas para gestionar el enfado y la frustración, identifica los síntomas y adopta medidas efectivas para cambiar la manera de vivir tu día a día.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d96363129c23f610VgnVCM1000001d4a900aRCRD";"IV Taller de crecimiento personal";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=053a3c2284238610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Dámaso Alonso (Chamartín)";"1,6";"CALLE";"MANUEL FERRERO";"1";"CHAMARTIN";"CASTILLA";"28036";"441962";"4479867";"40.467453379213175";"-3.6846112774442705";"/contenido/actividades/CursosTalleres";"";
11140507;"La Gomera";"";"0";"0";"";"";"2020-03-18 00:00:00.0";"2020-03-18 23:59:00.0";"20:00";"Cristi, es policía y a la vez chivato de la mafia. Desde Rumanía viaja a la isla de La Gomera para aprender el silbo gomero. En Rumanía se encuentro bajo vigilancia policial, y utilizando la ancestral forma de comunicación canaria pretende comunicarse con la mafia para conseguir sacar de la cárcel a Zsolt, el único que sabe donde están escondidos 30 millones de euros. Con la presencia del director Corneliu Porumboiu.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5da7156a04260710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471394";"40.391053041229135";"-3.6958079719260075";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11151902;"La grande bouffe del Alumnado del Área de Objeto de 2º BEC";"";"1";"1";"L,M,X,J,V,S,D";"";"2020-03-05 00:00:00.0";"2020-03-31 23:59:00.0";"11:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9eaf383f870a0710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=009fa4ea6871c010VgnVCM1000000b205a0aRCRD";"Escuela de Cerámica de la Moncloa";"1";"CALLE";"FRANCISCO Y JACINTO ALCÁNTARA";"2";"MONCLOA-ARAVACA";"CASA DE CAMPO";"28008";"438672";"4475579";"40.42670719570918";"-3.7242795119747836";"/contenido/actividades/Exposiciones";"";
11130885;"La hija de un ladrón";"";"1";"0";"";"";"2020-03-07 00:00:00.0";"2020-03-07 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=89e37a3cc2e30710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=03f7cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Santa Petronila (Villaverde)";"1";"CALLE";"MARIA MARTINEZ OVIOL";"12";"VILLAVERDE";"LOS ROSALES";"28021";"441277";"4466932";"40.35087114162283";"-3.691508909255186";"/contenido/actividades/CineActividadesAudiovisuales/CineFiccion";"";
11145375;"La hija de un ladrón";"";"1";"0";"";"";"2020-03-07 00:00:00.0";"2020-03-07 23:59:00.0";"19:00";"Directora: Belén Funes.   No recomendada para menores de 12 años.    Invitada: Angels Masclans (productora)   Sara ha estado sola toda su vida. Tiene 22 años y un bebé, su deseo es formar una familia junto a su hermano pequeño y el padre de su hijo. Su padre, Manuel, tras años de ausencia y al salir de la cárcel, decide reaparecer en sus vidas. Sara sabe que él es el principal obstáculo en sus planes y toma una decisión difícil: alejarlo de ella y de su hermano.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45f0f9fd89b70710VgnVCM1000001d4a900aRCRD";"Cine. XI Ciclo: Miradas de mujer";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=86960f5ec7b70710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Buero Vallejo (San Blas - Canillejas)";"1";"CALLE";"BOLTA&amp;Ntilde;A";"27";"SAN BLAS-CANILLEJAS";"CANILLEJAS";"28022";"448023";"4477305";"40.44477474902185";"-3.6129105844633775";"/contenido/actividades/CineActividadesAudiovisuales";"";
11140501;"La humana perfecta / libertad";"";"0";"0";"";"";"2020-03-19 00:00:00.0";"2020-03-19 23:59:00.0";"20:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a77156a04260710VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471394";"40.391053041229135";"-3.6958079719260075";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11147636;"La importancia de la mujer en el deporte y la cultura";"";"1";"0";"";"";"2020-03-14 00:00:00.0";"2020-03-14 23:59:00.0";"17:00";"Charla a cargo de  Delfina M. Ferrer de Frankenberg (deportista) y Jeannette Alfau (abogada)    En el aula Maestro Azorín.    Vivimos en un momento en el que la mujer lucha cada día por conseguir una sociedad igualitaria y cuando la lacra de la violencia de género no encuentra fin, muchas mujeres encuentran en el deporte y en la cultura un refugio seguro.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e18c46bf2d580710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Fernando de los Ríos (Latina)";"1";"CALLE";"CAMARENA";"10";"LATINA";"ALUCHE";"28047";"435819";"4471933";"40.39552931214334";"-3.7562667464373223";"/contenido/actividades/ComemoracionesHomenajes";"/usuario/Mujeres";
